feature,importance
gold high_roll_mean3,8.329539299657474
gold low,7.672254914190272
gold low_lag2,6.538583123378173
gold low_lag1,6.1742110914646195
gold high_roll_mean7,5.662468518904273
gold open_lag5,4.867194585820069
gold open_lag1,4.535287883203095
gold low_roll_mean3,4.523787110048956
gold low_lag5,4.374109575676077
gold high,4.360370909776469
gold high_lag5,3.9843982063206487
gold open,3.507021908798189
gold open_roll_mean3,2.7764972905979755
gold open_roll_mean14,2.3519267109689377
gold low_roll_mean14,2.3166161469884283
gold low_roll_mean7,2.145829302965141
gold high_roll_mean14,2.060709038646733
gold high_lag1,1.7168055414478423
gold open_lag2,1.7158951502047586
gold open_roll_mean7,1.6136897492047386
silver close_lag1,0.8032805862237536
gold high_lag2,0.764762366876128
silver close_lag2,0.7464956653576971
us_rates_%_lag5,0.7162581160454642
silver close_roll_mean3,0.45170713105014215
sp500 open_roll_mean7,0.4128719518750503
nasdaq open,0.3770207199623485
palladium close_lag2,0.3320150804588808
silver open_roll_mean3,0.28274724809279067
palladium high_lag1,0.26092597870915374
silver open_lag5,0.2486204599468536
gold volume,0.24556991090175898
oil high-low_roll_mean14,0.24189733030752286
sp500 open_lag5,0.22484695240315744
oil close_lag5,0.2178129232539954
silver close,0.20795393355048403
palladium open_lag1,0.1986485409688311
oil close,0.1962907630222403
nasdaq volume_roll_mean14,0.19018786504368965
us_rates_%_roll_mean3,0.1840862962128055
palladium low_roll_mean7,0.17889121226470375
oil close_roll_mean7,0.1783767960013231
platinum low_lag1,0.1759039947992755
oil open_lag1,0.1731397771329165
palladium high_roll_mean14,0.16360796627985322
nasdaq volume_lag2,0.16245529672648315
oil close_lag2,0.16155219348624686
palladium close_lag1,0.16132953382246878
platinum high_lag2,0.16047805355015998
GDP_roll_mean14,0.15924562052285557
nasdaq high,0.15375885540866702
oil open_roll_mean7,0.15359708942284925
silver low_roll_mean14,0.153153873969874
silver low_roll_mean3,0.14649623996542113
palladium high_lag2,0.14556098384587668
usd_chf_lag1,0.14543295571468426
GDP,0.144179076991553
nasdaq low_roll_mean3,0.14345862692548614
eur_usd_lag5,0.14325498307013226
silver high_lag1,0.1411948431085377
us_rates_%_roll_mean14,0.13920095413461633
platinum close,0.13513109381764782
silver high_lag2,0.1345135565589279
oil low_roll_mean3,0.13447864993401856
platinum high-low_roll_mean3,0.13329853155510388
silver high_roll_mean14,0.132300817011746
eur_usd_roll_mean14,0.13153949600889342
silver open_roll_mean14,0.12549849407645822
sp500 high-low_roll_mean7,0.12445015296008223
sp500 open_lag1,0.12308277713325115
palladium close_roll_mean14,0.1229407345847901
palladium open,0.12242998470823209
silver high-low_lag1,0.11689854397357424
palladium open_lag5,0.11664428388127814
sp500 close_lag1,0.11541052592586937
eur_usd_lag1,0.1058033959581977
GDP_roll_mean7,0.10238074551885433
oil volume_roll_mean14,0.09965423893457927
platinum low_roll_mean3,0.09759910164294304
usd_chf_lag5,0.09736606599293521
platinum low_roll_mean14,0.09589682673244956
nasdaq open_roll_mean14,0.09514130759714241
silver low_roll_mean7,0.0950548180813758
palladium close_lag5,0.09444430411206646
us_rates_%_lag2,0.09345131223414394
palladium high-low_roll_mean3,0.09313643404208491
nasdaq low_roll_mean14,0.09197352705714876
silver high-low_roll_mean7,0.09119665771249344
platinum high-low_lag5,0.0867855615508739
platinum high_roll_mean3,0.08613545595130355
nasdaq low_lag2,0.08397037504216319
gold volume_roll_mean7,0.08221883118909407
sp500 close_roll_mean14,0.08110386164294532
nasdaq open_lag5,0.08086163652525141
palladium volume_roll_mean7,0.0755151170961319
us_rates_%,0.07492580943357063
platinum volume_roll_mean14,0.07402599129687805
oil low_roll_mean7,0.07311414658322045
oil close_roll_mean3,0.07288346616078276
palladium high,0.07140740339685527
silver volume_roll_mean14,0.06986620012213787
sp500 high_roll_mean14,0.06928561516455078
sp500 volume_lag1,0.06899830493932843
sp500 high-low_roll_mean14,0.06889617994099596
nasdaq high_roll_mean14,0.06832687782724522
CPI_lag2,0.06733201325254007
palladium high-low_lag5,0.06704080706913465
gold volume_roll_mean3,0.06614810054191654
sp500 close_lag2,0.06599172749388431
sp500 close_roll_mean3,0.06359045528101949
oil high_roll_mean3,0.06229081819077571
oil volume_lag5,0.06197057103854544
oil high_roll_mean14,0.056863254441928364
nasdaq high-low_lag2,0.05512586494898798
palladium volume_roll_mean14,0.054936494471011524
silver low,0.05204439911161935
silver open,0.05191035089525719
CPI_roll_mean7,0.051538522411870485
palladium low_roll_mean14,0.05110337321165772
nasdaq open_lag2,0.050466334882188005
oil open_lag2,0.05014785695691399
gold volume_roll_mean14,0.04928294124175066
usd_chf,0.048182950435915514
silver volume_roll_mean7,0.04546340368127729
sp500 open_lag2,0.04416262100807727
silver high-low_lag2,0.04285398562436614
palladium high_lag5,0.042643790236636274
sp500 high_lag1,0.04206453827027142
sp500 open_roll_mean14,0.04163817661605507
silver open_roll_mean7,0.041528236323690744
platinum close_roll_mean7,0.04140617034602847
nasdaq high-low,0.041273874268031696
gold volume_lag1,0.039665110215304084
palladium volume_roll_mean3,0.039485530416929635
palladium volume_lag5,0.03786035975638732
silver volume,0.03781754061544108
platinum high-low_lag1,0.036810240058117366
nasdaq volume_lag1,0.03615753706563066
platinum close_lag5,0.03565290084475874
platinum high-low_roll_mean7,0.03559516463729911
eur_usd,0.03549134823060451
oil volume_roll_mean7,0.03520686913233685
silver low_lag1,0.03444276529498094
