feature,importance
sp500 close_lag2,11
CPI_roll_mean14,11
oil low_roll_mean7,10
sp500 high_lag2,10
oil low_roll_mean3,10
nasdaq close_lag1,10
palladium high_roll_mean7,10
us_rates_%_lag1,10
platinum close_roll_mean7,9
CPI,9
nasdaq high_lag2,9
nasdaq high_lag5,9
palladium close_roll_mean14,9
oil high_roll_mean3,9
nasdaq low_roll_mean3,8
sp500 low_lag2,8
platinum close_roll_mean14,8
us_rates_%_roll_mean3,8
sp500 low_roll_mean7,7
nasdaq close_lag2,7
platinum high_roll_mean7,7
nasdaq close_roll_mean14,6
sp500 high_roll_mean14,6
nasdaq high_roll_mean7,6
sp500 close_roll_mean3,5
sp500 high_roll_mean7,5
palladium low_roll_mean3,5
sp500 open_roll_mean3,4
nasdaq open_roll_mean3,4
sp500 low_roll_mean14,4
sp500 low_roll_mean3,4
nasdaq low_roll_mean7,4
GDP_roll_mean14,4
nasdaq high_roll_mean3,4
nasdaq open_roll_mean7,2
CPI_roll_mean3,2
CPI_lag1,2
GDP_lag5,2
nasdaq close_roll_mean3,2
CPI_roll_mean7,2
GDP,1
GDP_lag1,1
GDP_lag2,0
GDP_roll_mean3,0
CPI_lag2,0
CPI_lag5,0
GDP_roll_mean7,0
nasdaq close_roll_mean7,0
sp500 high_roll_mean3,0
sp500 close_roll_mean7,0
